Table 1
,歲入來源別-罰款及賠償收入(百萬元),歲出政事別-社區發展及環境保護支出(百萬元),歲出政事別結構比-社區發展及環境保護支出(％),,,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,433.65,1238.16,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,664.56,348.21,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,343.99,838.85,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,450.98,439.32,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,216.76,262.65,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,658.02,949.53,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,253.01,237.08,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,316.08,1121.11,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,57.01,478.79,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,367.84,1106.56,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,328.89,1274.49,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,58.28,799.36,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,41.5,735.87,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,15.51,115.99,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
總計,24493.21,73931.07,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣地區,24336.95,73003.44,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,4552.35,14070.73,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,3786.28,14647.71,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,2898.47,6825.42,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,3266.52,9189.14,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
