Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,歲出政事別結構比-社區發展及環境保護支出(％),year,環保罰鍰佔比(%),,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,6.14,2018,2.468,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,7.7,2018,6.893,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,5.15,2018,3.262,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,6.1,2018,1.554,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,2.83,2018,1.357,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,9.4,2019,3.684,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,9.19,2019,2.261,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,5.81,2019,6.398,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,6.97,2019,6.769,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,4.04,2019,7.182,,,,,,,,,,,,,,,,,,,,,,,,,
高雄市,5.61,2019,7.492,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,7.09,2019,3.386,,,,,,,,,,,,,,,,,,,,,,,,,
新竹縣,5.25,2019,7.765,,,,,,,,,,,,,,,,,,,,,,,,,
苗栗縣,5.39,2019,8.927,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣,0.74,2019,11.308,,,,,,,,,,,,,,,,,,,,,,,,,
南投縣,3.39,2019,2.385,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣,1.17,2019,5.749,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣,0.88,2019,8.462,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣,2.33,2019,6.543,,,,,,,,,,,,,,,,,,,,,,,,,
臺東縣,1.36,2019,4.505,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮縣,5.14,2019,32.666,,,,,,,,,,,,,,,,,,,,,,,,,
澎湖縣,4.81,2019,1.870,,,,,,,,,,,,,,,,,,,,,,,,,
基隆市,5.96,2019,2.585,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,6.61,2019,6.560,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,6.28,2019,4.166,,,,,,,,,,,,,,,,,,,,,,,,,
金門縣,5.63,2019,1.954,,,,,,,,,,,,,,,,,,,,,,,,,
連江縣,2.63,2019,1.908,,,,,,,,,,,,,,,,,,,,,,,,,
新北市,8.36,2020,3.452,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市,8.85,2020,2.209,,,,,,,,,,,,,,,,,,,,,,,,,
桃園市,5.84,2020,6.127,,,,,,,,,,,,,,,,,,,,,,,,,
臺中市,6.59,2020,4.678,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市,4.49,2020,7.985,,,,,,,,,,,,,,,,,,,,,,,,,
