year,縣市,風力,太陽光電,其他(含水力),家庭戶數,所得收入,total_income,垃圾焚化量(公噸),垃圾衛生掩埋量(公噸),執行機關資源回收量(公噸),一般廢棄物產生量(公噸),一般廢棄物回收率(%),地方環保單位歲出決算數(千元),t_capacity_of_renewable_e,戶籍登記人口數(人),售電統計（度）
2018,新北市,9960,20231,110720,1551017,1292753,2005081879801,640.559,7.371,762.756,1.537.668,"57,86",8.878.474,140911,3.995.717,21059282630
2018,新竹市,12000,11453,0,164283,1426379,234329821257,72.892,3.348,102.157,193.077,"60,51",890.827,23453,445.635,10153101214
2018,新竹縣,11500,53942,0,192993,1519478,293248617654,76.945,169,117.706,214.693,"58,24",989.752,65442,557.010,9876580554
2018,桃園市,100656,123699,130000,798391,1378732,1100767220212,403.325,1.570,568.369,1.049.837,"57,18",4.589.394,354355,2.220.872,29035920505
2018,澎湖縣,10200,13154,0,39883,959761,38278147963,20.935,521,22.146,43.914,"59,62",303.735,23354,104.440,429193835
2018,總計,NA,NA,NA,8643140,1249031,10795549797340,4.103.398,87.251,4.921.715,9.740.671,"55,68",45.493.984,0,23.588.932,NA
2018,臺中市,131704,137348,1150275,965455,1279865,1235652063575,674.180,-,538.695,1.267.112,"45,94",5.174.734,1419327,2.803.894,30843034098
2018,臺北市,0,10902,0,1053741,1649348,1737985610868,210.570,-,470.866,750.275,"71,93",7.741.846,10902,2.668.572,16193209265
2018,臺南市,0,398163,22466,685873,1086077,744910890221,416.381,1.488,431.904,927.086,"54,93",2.704.839,420629,1.883.831,26448058280
2018,臺東縣,0,15556,2810,82896,884510,73322340960,6.231,26.135,49.644,91.875,"63,00",437.104,18366,218.919,939135671
2018,臺灣地區,NA,NA,NA,NA,NA,NA,4.096.282,86.181,4.901.249,-,-,45.009.272,0,23.436.603,NA
2018,花蓮縣,0,5011,244200,125851,937898,118035401198,38.902,7.733,66.484,126.428,"56,61",568.160,249211,327.968,2442012955
2018,苗栗縣,157100,53498,80000,188522,1045881,197171577882,94.746,378,115.628,224.966,"57,72",944.216,290598,548.863,7140953478
2018,連江縣,0,12,0,NA,NA,NA,1.976,-,3.999,7.589,"74,62",93.390,12,13.056,69517139
2018,金門縣,4000,7513,0,NA,NA,NA,5.140,1.070,16.467,29.671,"75,06",391.322,11513,139.273,296728597
2018,雲林縣,76332,395860,200,240634,860237,207002270258,45.673,30.609,112.234,228.147,"56,76",1.005.553,472392,686.022,5765592992
2018,高雄市,0,297033,7958,1095318,1219246,1335462090228,533.922,6.556,629.572,1.250.781,"56,79",4.120.280,304991,2.773.533,30954805424
2019,南投縣,0,59731,267506,178590,940893,168034080870,53.823,-,102.611,204.624,"53,97",1.047.860,327237,494.112,2789280675
2019,嘉義市,0,14678,0,100209,1208298,121082334282,65.202,-,79.221,148.858,"56,20",776.203,14678,267.690,1172170334
2019,嘉義縣,0,260176,50405,183302,850597,155916131294,76.156,-,109.895,197.237,"61,39",871.609,310581,503.113,2812850084
2019,基隆市,0,554,0,153933,1140481,175557661773,91.572,-,105.655,204.936,"55,32",1.096.798,554,368.893,1460756541
2019,宜蘭縣,0,30281,26675,169900,1093475,185781402500,75.535,-,101.485,188.119,"59,85",1.032.619,56956,454.178,3371441194
2019,屏東縣,4500,380883,596,288710,964547,278474364370,174.551,-,187.529,374.278,"53,35",1.830.292,385979,819.184,4713253196
2019,彰化縣,200009,546202,195,390815,1026792,401285715480,279.970,11,309.805,605.015,"53,72",1.623.739,746406,1.272.802,11238052645
2019,新北市,9960,25606,110720,1571557,1319841,2074205362437,613.403,7.633,767.853,1.513.068,"58,96",9.008.777,146286,4.018.696,20967538845
2019,新竹市,12000,22245,0,166833,1602826,267404270058,70.603,3.150,105.284,189.299,"61,04",976.738,34245,448.803,10216185625
2019,新竹縣,11527,82089,0,197610,1539555,304231463550,74.345,37,128.122,228.858,"59,53",1.248.402,93616,563.933,9633475780
2019,桃園市,100706,246195,130000,816222,1392199,1136343452178,393.432,1.390,712.205,1.205.645,"61,92",5.417.133,476901,2.249.037,28282794776
2019,澎湖縣,10200,15194,0,40947,1037554,42484723638,16.730,87,22.916,44.920,"60,67",535.643,25394,105.207,446086674
2019,總計,NA,NA,NA,8734576,1274196,11129561800896,4.042.110,86.402,5.334.797,9.812.418,"56,27",50.273.116,0,23.603.121,NA
2019,臺中市,132135,244381,1150275,979469,1298497,1271837558093,625.129,131,534.413,1.200.928,"47,93",5.694.046,1526791,2.815.261,31482790422
2019,臺北市,0,19386,0,1058621,1723021,1824026214041,246.461,-,489.638,797.948,"69,11",7.428.077,19386,2.645.041,16104112613
2019,臺南市,0,532346,22726,692289,1079174,747100289286,389.595,1.475,484.945,939.359,"58,37",2.859.697,555072,1.880.906,27027339025
2019,臺東縣,0,24062,2780,83150,874386,72705195900,8.439,26.822,50.891,92.333,"60,72",543.729,26842,216.781,960531070
2019,臺灣地區,NA,NA,NA,NA,NA,NA,4.032.559,85.333,5.313.303,-,-,49.652.866,0,23.449.847,NA
2019,花蓮縣,0,19673,244200,126329,956973,120893442117,37.210,14.833,74.883,140.035,"58,05",965.970,263873,326.247,2433404639
2019,苗栗縣,159400,98835,80000,190098,1073028,203980476744,97.217,537,116.772,230.367,"57,48",1.008.138,338235,545.459,6828589117
2019,連江縣,0,12,0,NA,NA,NA,2.234,-,4.313,9.349,"78,22",117.284,12,13.089,72046022
2019,金門縣,4000,8201,0,NA,NA,NA,7.316,1.069,17.181,30.520,"75,11",502.966,12201,140.185,300800603
2019,雲林縣,76332,479277,330,241342,933883,225385190986,49.599,23.514,121.392,240.597,"56,51",1.353.584,555939,681.306,5790139513
2019,高雄市,0,448732,7958,1104650,1224668,1352829506200,593.585,5.714,707.788,1.337.406,"55,19",4.333.812,456690,2.773.198,30623001323
2020,南投縣,0,84487,267506,179226,997605,178796753730,63.523,3.275,108.411,212.589,"54,49",1.061.999,351993,490.832,2841884870
2020,嘉義市,0,21451,0,100858,1225219,123573137902,54.242,-,72.090,133.008,"59,22",798.043,21451,266.005,1207245258
2020,嘉義縣,0,478321,50504,184112,906554,166907470048,72.294,-,112.498,197.386,"63,37",873.213,528825,499.481,2919447548
2020,基隆市,0,1684,499,155018,1106963,171599190334,95.298,-,110.021,211.900,"55,03",881.960,2183,367.577,1481789976
2020,宜蘭縣,0,60008,26675,171495,1138365,195223905675,78.572,-,106.585,194.981,"59,70",1.126.238,86683,453.087,3460782313
2020,屏東縣,4500,595024,1112,290649,1064508,309398185692,131.207,5,178.799,323.866,"58,63",1.883.265,600636,812.658,4886414827
2020,彰化縣,265655,885981,725,394507,996066,392955009462,276.033,-,308.338,600.957,"54,07",1.662.595,1152361,1.266.670,11330142478
2020,新北市,14660,49434,110720,1594111,1352548,2156111644828,530.031,6.820,874.191,1.538.164,"65,10",8.659.241,174814,4.030.954,21379150500
2020,新竹市,12000,25266,0,169186,1618903,273895722958,75.908,5.852,111.214,205.287,"60,17",968.825,37266,451.412,10532415165
2020,新竹縣,11527,112404,0,202656,1619782,328258540992,76.991,60,136.285,241.352,"60,24",1.144.378,123931,570.775,9716215241
2020,桃園市,100706,347910,132458,834453,1424027,1188283602231,407.996,1.246,734.366,1.258.474,"61,03",5.820.612,581074,2.268.807,28194559336
2020,澎湖縣,10200,15190,0,41378,1091011,45143853158,21.543,47,22.167,51.808,"51,74",549.158,25390,105.952,457316598
2020,總計,NA,NA,NA,8829466,1293719,11422847924054,3.789.352,106.703,5.655.991,9.869.675,"58,84",51.333.805,0,23.561.236,NA
2020,臺中市,132145,343093,1150875,993132,1289700,1280842340400,496.727,62,578.525,1.131.384,"57,20",5.517.202,1626113,2.820.787,33073380154
2020,臺北市,0,33674,260,1060320,1716591,1820135769120,225.475,-,495.277,781.781,"71,16",7.399.821,33934,2.602.418,16115286702
2020,臺南市,0,959425,22886,699095,1086475,759549240125,368.755,1.970,549.139,981.281,"62,22",3.470.086,982311,1.874.917,28977669742
2020,臺東縣,0,35182,3780,83395,891340,74333299300,3.872,34.167,55.560,99.518,"60,93",918.151,38962,215.261,986736049
2020,臺灣地區,NA,NA,NA,NA,NA,NA,3.780.495,105.700,5.636.256,-,-,50.677.107,0,23.407.360,NA
2020,花蓮縣,0,43780,244200,127030,1032499,131158347970,32.067,22.616,80.345,148.013,"58,72",787.113,287980,324.372,2485806038
2020,苗栗縣,284100,160810,80000,192076,1161999,223192119924,94.320,749,114.211,225.505,"57,84",1.278.310,524910,542.590,7173513178
2020,連江縣,0,86,0,NA,NA,NA,2.231,-,3.156,8.982,"71,83",159.577,86,13.279,75742971
2020,金門縣,4000,9789,0,NA,NA,NA,6.626,1.003,16.579,29.422,"74,35",497.121,13789,140.597,299679758
2020,雲林縣,76332,666650,1358,242888,988062,239988403056,50.156,23.521,126.792,248.506,"56,34",1.259.554,744340,676.873,6027509204
2020,高雄市,0,635491,7958,1113881,1224100,1363501732100,625.485,5.310,761.442,1.423.421,"55,68",4.617.343,643449,2.765.932,31189848128
2021,南投縣,0,121276,267506,179671,985686,177099189306,43.675,61,108.827,211.857,"54,47",974.352,388782,484.897,2987026269
2021,嘉義市,0,26333,0,101345,1217617,123399394865,57.317,-,78.789,141.736,"59,56",848.452,26333,264.727,1205790205
2021,嘉義縣,0,645920,50504,184817,916631,169408991527,71.038,-,114.104,198.246,"64,17",959.229,696424,493.316,3202463674
2021,基隆市,0,2682,499,155737,1111556,173110396772,98.273,-,115.074,218.967,"55,12",762.643,3181,363.977,1515579452
2021,宜蘭縣,0,95289,30875,173265,1136419,196901638035,77.188,-,105.109,191.698,"59,73",1.056.793,126164,450.692,3590071535
2021,屏東縣,4500,819791,1797,292214,1046302,305744092628,140.855,30,193.712,341.499,"59,03",1.619.148,826088,804.440,4955042816
2021,彰化縣,396455,1048203,1155,397597,1086809,432111997973,270.336,-,315.019,601.838,"55,08",1.730.217,1445813,1.255.330,12065909429
2021,新北市,13340,70907,110720,1612821,1381603,2228278332063,502.819,6.059,938.512,1.565.718,"67,50",8.696.490,194967,4.008.113,22372413327
2021,新竹市,12000,31065,0,172450,1602415,276336466750,74.327,8.958,117.214,208.750,"60,10",1.174.250,43065,452.640,10932541977
2021,新竹縣,11500,128246,0,207824,1689337,351084772688,64.437,204,153.172,262.085,"61,69",1.189.924,139746,575.580,10035477564
2021,桃園市,100706,432796,135270,853848,1448909,1237148051832,402.196,154.614,723.821,1.277.926,"59,03",6.066.053,668772,2.272.391,30314306207
2021,澎湖縣,10200,15879,0,41840,796484,33324890560,22.171,2,24.084,51.738,"54,84",642.316,26079,106.340,454470439
2021,總計,NA,NA,NA,8919896,1314023,11720948501608,3.502.084,247.014,6.048.304,10.049.062,"61,19",51.388.144,0,23.375.314,NA
2021,臺中市,118145,437190,1150875,1009568,1304508,1316989532544,441.478,-,727.411,1.265.065,"62,22",5.386.214,1706210,2.813.490,34743201021
2021,臺北市,0,40515,260,1057695,1732126,1832061009570,208.452,-,493.402,759.391,"72,55",7.161.343,40775,2.524.393,15986169323
2021,臺南市,0,1406405,22886,705803,1120580,790908725740,336.948,2.647,596.120,990.920,"65,73",3.875.267,1429291,1.862.059,30777564380
2021,臺東縣,0,50305,3780,83767,911136,76323129312,1.836,33.077,56.372,101.253,"60,84",805.041,54085,213.386,995542292
2021,臺灣地區,NA,NA,NA,NA,NA,NA,3.493.443,246.001,6.029.347,-,-,50.730.959,0,23.220.130,NA
2021,花蓮縣,0,61420,244300,127594,1026488,130973709872,16.218,15.135,82.401,150.628,"59,01",784.479,305720,321.358,2551308166
2021,苗栗縣,284100,232975,80325,194320,1214424,235986871680,103.199,523,120.680,240.057,"56,78",1.047.651,597400,538.178,7918197661
2021,連江縣,0,145,0,NA,NA,NA,2.596,-,2.866,7.378,"67,81",129.169,145,13.645,77358348
2021,金門縣,4000,10876,0,NA,NA,NA,6.044,1.013,16.091,28.042,"74,24",528.016,14876,141.539,304394332
2021,雲林縣,137132,754661,2261,244369,1024191,250280530479,57.071,24.690,135.818,253.659,"58,34",1.284.980,894054,670.132,6079902111
2021,高雄市,0,773271,7564,1123351,1231562,1383476404262,503.607,-,829.707,1.362.049,"63,03",4.666.117,780835,2.744.691,32276181013
2022,南投縣,0,169645,250802,179601,1048879,188379717279,51.625,12,117.259,219.960,"56,07",974.929,420447,479.595,2921703647
2022,嘉義市,0,38828,0,101826,1282798,130622189148,57.560,-,78.421,144.607,"59,36",1.001.010,38828,262.924,1218720709
2022,嘉義縣,0,828831,50504,185092,891498,165009147816,143.985,-,120.155,277.418,"48,10",947.786,879335,488.158,3534630061
2022,基隆市,0,19134,2495,156154,1099526,171695383004,105.728,-,115.134,224.883,"52,99",867.018,21629,361.526,1504954089
2022,宜蘭縣,0,127502,31325,174726,1165558,203653287108,119.826,-,106.533,234.505,"48,90",1.411.663,158827,449.062,3610453600
2022,屏東縣,4500,1013686,1788,294025,1083933,318703400325,94.109,23,198.970,352.341,"58,87",1.968.220,1019974,798.703,5054973977
2022,彰化縣,552452,1264514,1455,400502,1108221,443844726942,286.214,-,342.177,643.549,"55,53",1.838.756,1818421,1.245.239,11688570638
2022,新北市,13340,129453,110720,1622976,1421385,2306873741760,918.432,5.781,1.045.847,2.079.410,"55,55",8.651.057,253513,3.995.551,21859997323
2022,新竹市,12000,38844,0,174515,1722889,300669973835,71.984,4.833,123.068,205.222,"62,57",975.428,50844,452.473,10492419313
2022,新竹縣,11500,162845,0,212370,1702134,361482197580,52.812,379,166.354,279.398,"62,02",1.204.068,174345,580.503,11038574945
2022,桃園市,100706,550640,168230,866529,1449549,1256076245421,423.747,137.450,771.527,1.336.424,"61,15",6.121.860,819576,2.281.464,30103129654
2022,澎湖縣,19200,18898,0,42205,919357,38801462185,17.747,2,23.986,53.313,"53,86",613.764,38098,107.223,470740250
