year,city/county,Household_income,General_waste_recycling_rate,Budget_structure_ratio_for_environmental,Proportion_of_environmental_fines,number_of_people,per_capita_electricity_usage,per_capita_incinerated_waste_kg,per_capita_landfilled_waste_kg,per_capita_resource_recovery_by_local_authorities_kg,per_capita_generation_of_general_waste_kg,per_capita_t_capacity_of_renewable_energy,Vancancy_rate,per_capita_food_waste_kg
2017,雲林縣,868663,54.1,1.14,7.96,690373,8343.448024473726,61.804271024504146,29.805626813331344,124.49936483611033,274.6355955403818,0.5068723718917165,12.12,24.07539112914323
2017,高雄市,1186204,59.81,6.51,6.875,2776912,11101.107935361293,137.74977384951342,2.6068525037883807,179.56348634742477,349.2728613654304,0.06431388535178645,9.76,29.352748664703814
2018,南投縣,967369,49,2.92,2.535,497031,5679.753814148413,136.83653534688983,0.014083628586546916,170.3113085501709,383.6561502200064,0.6268844398035535,11.81,17.666906088352636
2018,嘉義市,1152499,54.21,5.15,3.262,268622,4368.0173515199795,247.18377497003223,NA,256.08475850823834,539.8515385932649,0.04468360744838472,12.23,36.58300511499431
2018,嘉義縣,940780,63.15,0.4,6.31,507068,5641.6073564097915,142.0835075374506,NA,212.6125095647921,385.5478949568894,0.4686452310143807,11.86,30.851877854646713
2018,基隆市,1070748,54.62,6.14,2.468,370155,3936.181837338412,250.40050789534112,NA,269.5951695911172,551.749942591617,0.0012697383528521835,13.02,31.754265105158648
2018,宜蘭縣,1069997,58.14,6.64,9.634,455221,7392.7058242040675,179.1327728729562,NA,222.4545879913273,427.91742911684656,0.09861364040762619,16.38,26.33006825256304
2018,屏東縣,985681,48.81,1.76,7.528,825406,5587.378634272103,238.1506797866747,0.3283232736374584,212.5160224180585,465.5902670928004,0.28437641596983787,9.96,14.743047663816352
2018,彰化縣,997162,50.76,0.78,10.816,1277824,8741.166495542422,222.0665756786537,0.019564509666432937,215.49837849343885,451.07307422618453,0.38189609836722427,10.29,13.483077481718922
2018,新北市,1292753,57.86,9.38,4.541,3995717,5270.464006835319,160.31140343522827,1.8447252395502485,190.8933991070939,384.829055711403,0.035265510545416504,8.33,31.779778197504978
2018,新竹市,1426379,60.51,7.7,6.893,445635,22783.446573989924,163.56883996993054,7.512874886398061,229.23917555847274,433.2626476825204,0.05262827201633624,9.76,32.9417572677191
2018,新竹縣,1519478,58.24,5.28,7.371,557010,17731.42412883072,138.1393511786144,0.30340568391949874,211.31757060016875,385.4383224717689,0.11748801637313513,9.94,13.173910701782733
2018,桃園市,1378732,57.18,5.38,6.36,2220872,13074.108055304403,181.60659416661565,0.7069295303826606,255.9215479325238,472.713870947988,0.15955669664888386,10.58,14.398398466908494
2018,澎湖縣,959761,59.62,4.73,19.379,104440,4109.47754691689,200.45001914975106,4.988510149368058,212.04519341248565,420.4710838759096,0.22361164304864037,8.55,38.65377250095749
2018,臺中市,1279865,45.94,6.88,4.068,2803894,11000.071364324043,240.44418226937253,NA,192.12388200124542,451.91152019298875,0.5061985224833749,9.32,15.491313152351694
2018,臺北市,1649348,71.93,8.88,2.358,2668572,6068.117804203896,78.90737068364653,NA,176.44867741998343,281.15224172328874,0.004085331030978366,6.67,25.796193619658755
2018,臺南市,1086077,54.93,4.2,8.348,1883831,14039.506877209262,221.0288502524908,0.7898797715930994,229.2689737030551,492.1280093596506,0.22328382960042595,9.66,41.040836465691456
2018,臺東縣,884510,63,0.9,4.38,218919,4289.877402144172,28.462582050895538,119.38205454985635,226.76880490044263,419.67577049045536,0.08389404300220629,13.99,37.621220634115815
2018,花蓮縣,937898,56.61,6.4,3.238,327968,7445.88787625622,118.61523075421992,23.578519855595665,202.71489901453802,385.4888281783589,0.7598637671967997,13.55,15.519806810420528
2018,苗栗縣,1045881,57.72,2.57,8.568,548863,13010.447922341276,172.6223119430532,0.6886964506625515,210.6682359714537,409.87641724802,0.5294545269037993,11.54,25.897172882850548
2018,連江縣,NA,74.62,2.83,1.357,13056,5324.535768995098,151.34803921568627,NA,306.2959558823529,581.265318627451,9.191176470588235e-4,15.51,127.45098039215686
2018,金門縣,NA,75.06,6.1,1.554,139273,2130.553639255276,36.905932951828426,7.682752579466229,118.23540815520596,213.04201101433875,0.08266498172653709,18.22,41.680727779253694
2018,雲林縣,860237,56.76,1.27,5.047,686022,8404.384978907381,66.5765820921195,44.61810262644638,163.60116730950318,332.5651363950427,0.6885959925483439,12.06,25.158085309217487
2018,高雄市,1219246,56.79,6.63,7.129,2773533,11160.78497137045,192.50609240993347,2.3637721274634194,226.99279222565588,450.97029672983876,0.1099647994092733,10.11,29.107639966786046
2019,南投縣,940893,53.97,3.39,2.385,494112,5645.037309354964,108.92874489994172,NA,207.66749239038924,414.12473285408976,0.6622729259762968,11.34,15.840538177579173
2019,嘉義市,1208298,56.2,6.28,4.166,267690,4378.83497329,243.57278942059847,NA,295.94306847472825,556.0835294557137,0.054832081885763384,10.86,16.567671560387016
2019,嘉義縣,850597,61.39,0.88,8.462,503113,5590.891278897584,151.36957303826375,NA,218.4300544808025,392.03320128877607,0.6173185745548216,11.34,22.233573769709785
2019,基隆市,1140481,55.32,5.96,2.585,368893,3959.838058732478,248.23458292784088,NA,286.41096469708015,555.5432062955925,0.0015017904920939134,12.54,20.89765867067144
2019,宜蘭縣,1093475,59.85,7.09,3.386,454178,7423.171518655681,166.31144617308632,NA,223.44763506818913,414.1966365609959,0.1254045770600954,15.94,24.439757099639348
2019,屏東縣,964547,53.35,2.33,6.543,819184,5753.595280181254,213.0791128732983,NA,228.92170745522372,456.8912478759351,0.4711749741205883,9.79,14.829391199046857
2019,彰化縣,1026792,53.72,0.74,11.308,1272802,8829.380096040075,219.96351357084606,0.008642349713466823,243.40392299823537,475.34101926301184,0.5864274254754471,9.74,11.97122568946309
2019,新北市,1319841,58.96,9.4,3.684,4018696,5217.498125013686,152.63732315158947,1.899372333712229,191.07018794156113,376.50720532232344,0.036401360043158276,8.37,30.900073058524455
2019,新竹市,1602826,61.04,6.61,6.56,448803,22763.18479377366,157.31401082434832,7.018669661299056,234.5884497207015,421.786396258492,0.07630296588926544,9.4,22.86749420124197
2019,新竹縣,1539555,59.53,5.25,7.765,563933,17082.66013870442,131.83303690332008,0.06561063105014249,227.19365598395555,405.82480542901374,0.1660055361186524,9.34,14.390007323565033
2019,桃園市,1392199,61.92,5.81,6.398,2249037,12575.513331261336,174.93353822102526,0.6180422998821273,316.6710907824104,536.0716608930844,0.21204675601157294,10.06,15.25452893838563
2019,澎湖縣,1037554,60.67,4.81,1.87,105207,4240.0854886081725,159.01983708308381,0.8269411731158574,217.8182060129079,426.9677873145323,0.24137177184027678,9.3,41.20448259146254
2019,臺中市,1298497,47.93,6.97,6.769,2815261,11182.902907403612,222.0501047682613,0.04653209773445517,189.82715989743045,426.5778554812502,0.542326626199134,8.44,14.615696377707076
2019,臺北市,1723021,69.11,9.19,2.261,2645041,6088.417008658845,93.17851783771971,NA,185.1154670192258,301.6769872376269,0.007329186957782507,6.83,23.383002380681432
2019,臺南市,1079174,58.37,4.04,7.182,1880906,14369.31937321695,207.13156319348226,0.7841965520871325,257.82521827247086,499.4183654047571,0.2951088464814297,8.76,33.67791904539621
2019,臺東縣,874386,60.72,1.36,4.505,216781,4430.882180633912,38.92868839981364,123.7285555468422,234.75765865089653,425.9275490010656,0.1238208145547811,13.67,23.862792403393286
2019,花蓮縣,956973,58.05,5.14,32.666,326247,7458.780123648647,114.05468862548928,45.46555217365984,229.52854738894152,429.2300005823808,0.8088135676343384,12.88,19.64462508467511
2019,苗栗縣,1073028,57.48,5.39,8.927,545459,12518.977809514556,178.22971112402584,0.9844919599823267,214.0802516779446,422.3360509222508,0.6200924359117734,11.99,28.689599034941214
2019,連江縣,NA,78.22,2.63,1.908,13089,5504.318282527313,170.67766827106732,NA,329.5133318053327,714.2638857055543,9.168003667201467e-4,12.79,229.12369164947665
2019,金門縣,NA,75.11,5.63,1.954,140185,2145.740293184007,52.188179905125374,7.625637550379856,122.5594749794914,217.71230873488602,0.08703498947818954,17.26,40.9530263580269
2019,雲林縣,933883,56.51,1.17,5.749,681306,8498.588758942384,72.79988727532121,34.51312626044685,178.1754453945804,353.14087942862676,0.815990171817069,12.26,21.38980135210904
2019,高雄市,1224668,55.19,5.61,7.492,2773198,11042.486444530827,214.0434977956857,2.06043708382885,255.2244736942692,482.2612738073517,0.16467991106296773,9.29,10.932865233567888
2020,南投縣,997605,54.49,2.14,1.817,490832,5789.933969260358,129.41902728428465,6.672344101444079,220.8719072921081,433.1196824982886,0.7171353945952994,11.305,15.149786484988754
2020,嘉義市,1225219,59.22,6.01,7.327,266005,4538.430698671078,203.91346027330312,NA,271.0099434221161,500.020676303077,0.08064134132817052,10.81,25.09727260765775
2020,嘉義縣,906554,63.37,1.02,8.848,499481,5844.962166729065,144.73823829134642,NA,225.22978852048425,395.1821991226894,1.0587489814427375,11.4,25.21417231085867
2020,基隆市,1106963,55.03,5.62,2.136,367577,4031.236927228853,259.25996457885014,NA,299.3141573058162,576.4778536197857,0.005938891715205249,12.34,17.903731735119443
2020,宜蘭縣,1138365,59.7,7.28,2.579,453087,7638.229110524027,173.41481878756176,NA,235.2417968293065,430.3389856694189,0.1913164579870974,15.73,21.682370052550613
2020,屏東縣,1064508,58.63,2.33,5.456,812658,6012.879744000551,161.45414184072513,0.006152649700119854,220.01752274634595,398.5268095558033,0.7391005810562377,9.67,13.631810675585548
2020,彰化縣,996066,54.07,0.78,9.102,1266670,8944.825785721616,217.9202159994316,NA,243.4240962523783,474.4384883197676,0.909756290115026,9.73,13.094176067957715
2020,新北市,1352548,65.1,8.36,3.452,4030954,5303.744597432767,131.49021298680162,1.691907176316078,216.8695053329807,381.588080637983,0.043367897525002766,7.995,31.536455141884527
2020,新竹市,1618903,60.17,6.08,6.529,451412,23332.15591300187,168.15680575616068,12.963767024359122,246.36917051385433,454.7663774999335,0.08255429629695267,9.235,27.276634205559443
2020,新竹縣,1619782,60.24,5.54,8.865,570775,17022.846552494415,134.88852875476326,0.10512023126450878,238.77184529805965,422.8496342691954,0.21712758968069729,9.08,15.939731067408347
2020,桃園市,1424027,61.03,5.84,6.127,2268807,12427.04176071389,179.8284296548803,0.5491873041646997,323.679361003382,554.6853478502138,0.25611433674173256,9.505,14.854943589296049
2020,澎湖縣,1091011,51.74,4.76,1.813,105952,4316.262062065841,203.32792207792207,0.44359710057384477,209.21738145575355,488.9761401389308,0.2396368166717004,9.605,43.76510117789188
2020,臺中市,1289700,57.2,6.59,4.678,2820787,11724.876835436351,176.09518194744942,0.02197968155695556,205.09347214093088,401.0880651392679,0.5764749341229948,8.365,24.330089439578387
2020,臺北市,1716591,71.16,8.85,2.209,2602418,6192.428234818542,86.64057810851293,NA,190.31416167579533,300.40562277082313,0.013039411808556504,6.945,23.450498728490196
2020,臺南市,1086475,62.22,4.49,7.985,1874917,15455.441356604053,196.6780396145536,1.0507131782366899,292.8870984688922,523.3730346463336,0.523922392297899,8.68,32.757183384651164
2020,臺東縣,891340,60.93,3.02,2.868,215261,4583.905347461919,17.987466378024816,158.72359600670814,258.10527684996356,462.31319189263263,0.18099888042887471,13.985,23.56209438774325
2020,花蓮縣,1032499,58.72,2.96,13.889,324372,7663.442091179263,98.85871776848803,69.72241747129839,247.69400564783643,456.30633963474037,0.8878078255829727,12.975,20.236025304280272
2020,苗栗縣,1161999,57.84,5.95,11.158,542590,13220.872441438287,173.83291251220996,1.380416152159089,210.49226856374057,415.60847048415934,0.9674155439650565,11.765,29.902873256049688
2020,連江縣,NA,71.83,2.61,0.244,13279,5703.966488440395,168.00963928006627,NA,237.66849913397093,676.4063559002938,0.0064763912945251904,12.46,248.2114617064538
