"【改制後】縣市重要統計指標自選項目
            ，依 指標、期間、縣市"
""
"","","垃圾焚化量(公噸)","垃圾衛生掩埋量(公噸)","執行機關資源回收量(公噸)","一般廢棄物產生量(公噸)","一般廢棄物回收率(%)","地方環保單位歲出決算數(千元)"
"","嘉義縣","72,046","-","107,809","195,499","63.15","617,672"
"","屏東縣","196,571","271","175,412","384,301","48.81","1,342,013"
"","臺東縣","6,231","26,135","49,644","91,875","63.00","437,104"
"","花蓮縣","38,902","7,733","66,484","126,428","56.61","568,160"
"","澎湖縣","20,935","521","22,146","43,914","59.62","303,735"
"","基隆市","92,687","-","99,792","204,233","54.62","999,230"
"","新竹市","72,892","3,348","102,157","193,077","60.51","890,827"
"","嘉義市","66,399","-","68,790","145,016","54.21","547,179"
"","金門縣","5,140","1,070","16,467","29,671","75.06","391,322"
"","連江縣","1,976","-","3,999","7,589","74.62","93,390"
"2019","","","","","",""
"","總計","4,042,110","86,402","5,334,797","9,812,418","56.27","50,273,116"
"","臺灣地區","4,032,559","85,333","5,313,303","-","-","49,652,866"
"","新北市","613,403","7,633","767,853","1,513,068","58.96","9,008,777"
"","臺北市","246,461","-","489,638","797,948","69.11","7,428,077"
"","桃園市","393,432","1,390","712,205","1,205,645","61.92","5,417,133"
"","臺中市","625,129","131","534,413","1,200,928","47.93","5,694,046"
"","臺南市","389,595","1,475","484,945","939,359","58.37","2,859,697"
"","高雄市","593,585","5,714","707,788","1,337,406","55.19","4,333,812"
"","宜蘭縣","75,535","-","101,485","188,119","59.85","1,032,619"
"","新竹縣","74,345","37","128,122","228,858","59.53","1,248,402"
"","苗栗縣","97,217","537","116,772","230,367","57.48","1,008,138"
"","彰化縣","279,970","11","309,805","605,015","53.72","1,623,739"
"","南投縣","53,823","-","102,611","204,624","53.97","1,047,860"
"","雲林縣","49,599","23,514","121,392","240,597","56.51","1,353,584"
"","嘉義縣","76,156","-","109,895","197,237","61.39","871,609"
"","屏東縣","174,551","-","187,529","374,278","53.35","1,830,292"
"","臺東縣","8,439","26,822","50,891","92,333","60.72","543,729"
"","花蓮縣","37,210","14,833","74,883","140,035","58.05","965,970"
"","澎湖縣","16,730","87","22,916","44,920","60.67","535,643"
"","基隆市","91,572","-","105,655","204,936","55.32","1,096,798"
"","新竹市","70,603","3,150","105,284","189,299","61.04","976,738"
"","嘉義市","65,202","-","79,221","148,858","56.20","776,203"
